class_name,image_1,image_2,phash_distance
Apple___Black_rot,train\Apple___Black_rot\30aebb07-bde6-44c8-bee2-a06ff42a948d___JR_FrgE.S 3071.JPG,train\Apple___Black_rot\fb8255a6-e05d-44d3-a115-80c1e55009bd___JR_FrgE.S 3074.JPG,4
Apple___Black_rot,train\Apple___Black_rot\4eeaca51-3ca2-4afe-884a-d65c2e31e452___JR_FrgE.S 3026.JPG,train\Apple___Black_rot\fc5f6bd3-bd4e-4a8c-94d1-d46ea92a3941___JR_FrgE.S 3017.JPG,4
Apple___Black_rot,train\Apple___Black_rot\6af96fb3-002f-48b3-a2e8-fb5cf30dfa63___JR_FrgE.S 2998.JPG,train\Apple___Black_rot\f83c1286-8bdb-48e6-ac8f-bd8a5209afc7___JR_FrgE.S 3001.JPG,4
Apple___healthy,train\Apple___healthy\11beda66-01e9-4bfd-be37-c0f8646d1478___RS_HL 6271.JPG,val\Apple___healthy\13298d36-4425-437d-ae8e-c7d70e200084___RS_HL 6271.JPG,0
Apple___healthy,train\Apple___healthy\14896dc0-688d-456f-b5ec-a037695b0193___RS_HL 6268.JPG,train\Apple___healthy\c21cf428-bfc3-4710-b5d2-69d1c0e94748___RS_HL 6268.JPG,0
Apple___healthy,train\Apple___healthy\1ab5e019-e5f0-4d8e-a252-94cb0aab8b0a___RS_HL 6269.JPG,train\Apple___healthy\3673d121-b5de-481c-b057-d4ee5b4959b1___RS_HL 6269.JPG,0
Apple___healthy,train\Apple___healthy\375f1e44-235c-4ef0-a156-077b71abeed3___RS_HL 8162.JPG,train\Apple___healthy\abc9f5f6-ea98-46c0-8df7-2986969318bf___RS_HL 5928.JPG,4
Apple___healthy,train\Apple___healthy\946b311a-cb67-46d4-8c8b-0d91ebd456f3___RS_HL 5809.JPG,train\Apple___healthy\b6808ea5-f26b-49fa-87b2-a1bbbc98d74c___RS_HL 6095.JPG,4
Apple___healthy,train\Apple___healthy\9b75de13-d4b0-4b3f-988c-3e9926eef957___RS_HL 6273.JPG,val\Apple___healthy\5192db55-4aa7-421c-92d4-c2dac79e7379___RS_HL 6273.JPG,0
Apple___healthy,train\Apple___healthy\9fc6acc1-0394-498d-b51c-d2e92febae55___RS_HL 6013.JPG,val\Apple___healthy\298c8daf-43cc-4f65-b2db-65623425e5f8___RS_HL 6103.JPG,4
Apple___healthy,train\Apple___healthy\acb21cc2-8d65-4880-a7bb-dcc1eab1564b___RS_HL 6272.JPG,val\Apple___healthy\3d075f90-7002-4c45-abc0-4f35ee49aa79___RS_HL 6272.JPG,0
Apple___healthy,train\Apple___healthy\ced4e27a-5eff-4190-a33a-cdc3d84c811e___RS_HL 6270.JPG,val\Apple___healthy\dc18b924-f172-445d-8fed-61445d437aaa___RS_HL 6270.JPG,0
Apple___healthy,train\Apple___healthy\f2cda910-55c7-46d7-b1a2-9a3bb9792148___RS_HL 6274.JPG,val\Apple___healthy\fdbfa6f7-f887-442d-8df1-1f0cf839fc4d___RS_HL 6274.JPG,0
