class_name,train_count,val_count,total,train_ratio,val_ratio
Apple___Apple_scab,504,126,630,80.0,20.0
Apple___Black_rot,496,125,621,79.87,20.13
Apple___Cedar_apple_rust,220,55,275,80.0,20.0
Apple___healthy,1316,329,1645,80.0,20.0
Blueberry___healthy,1202,300,1502,80.03,19.97
Cherry_(including_sour)___Powdery_mildew,842,210,1052,80.04,19.96
Cherry_(including_sour)___healthy,684,170,854,80.09,19.91
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,410,103,513,79.92,20.08
Corn_(maize)___Common_rust_,953,239,1192,79.95,20.05
Corn_(maize)___Northern_Leaf_Blight,788,197,985,80.0,20.0
Corn_(maize)___healthy,929,233,1162,79.95,20.05
Grape___Black_rot,944,236,1180,80.0,20.0
Grape___Esca_(Black_Measles),1107,276,1383,80.04,19.96
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),861,215,1076,80.02,19.98
Grape___healthy,339,84,423,80.14,19.86
Orange___Haunglongbing_(Citrus_greening),4405,1102,5507,79.99,20.01
Peach___Bacterial_spot,1838,459,2297,80.02,19.98
Peach___healthy,288,72,360,80.0,20.0
"Pepper,_bell___Bacterial_spot",797,200,997,79.94,20.06
"Pepper,_bell___healthy",1183,295,1478,80.04,19.96
Potato___Early_blight,800,200,1000,80.0,20.0
Potato___Late_blight,800,200,1000,80.0,20.0
Potato___healthy,121,31,152,79.61,20.39
Raspberry___healthy,297,74,371,80.05,19.95
Soybean___healthy,4072,1018,5090,80.0,20.0
Squash___Powdery_mildew,1468,367,1835,80.0,20.0
Strawberry___Leaf_scorch,887,222,1109,79.98,20.02
Strawberry___healthy,364,92,456,79.82,20.18
Tomato___Bacterial_spot,1702,425,2127,80.02,19.98
Tomato___Early_blight,800,200,1000,80.0,20.0
Tomato___Late_blight,1527,382,1909,79.99,20.01
Tomato___Leaf_Mold,761,191,952,79.94,20.06
Tomato___Septoria_leaf_spot,1417,354,1771,80.01,19.99
Tomato___Spider_mites Two-spotted_spider_mite,1341,335,1676,80.01,19.99
Tomato___Target_Spot,1123,281,1404,79.99,20.01
Tomato___Tomato_Yellow_Leaf_Curl_Virus,4286,1071,5357,80.01,19.99
Tomato___Tomato_mosaic_virus,299,74,373,80.16,19.84
Tomato___healthy,1273,318,1591,80.01,19.99
