class_name_1,class_name_2,image_1,image_2,phash_distance,pixel_mae,pixel_correlation,confirmed
Apple___Apple_scab,Blueberry___healthy,train/Apple___Apple_scab/f6946261-1a18-4306-ba87-ca25344d9bd2___FREC_Scab 3525.JPG,train/Blueberry___healthy/23d13863-7320-427f-8559-9665257b9540___RS_HL 2334.JPG,4,0.1572885513305664,0.7074919508766554,False
Blueberry___healthy,Cherry_(including_sour)___healthy,train/Blueberry___healthy/e35a63f4-5fa8-40af-9e59-a63b67801bcf___RS_HL 4996.JPG,train/Cherry_(including_sour)___healthy/0a273dc4-db45-4936-aee3-59919e1df44f___JR_HL 9805.JPG,4,0.14067280292510986,0.7581082929129119,False
Blueberry___healthy,Cherry_(including_sour)___healthy,train/Blueberry___healthy/e1bba6b4-45e5-4d1f-b58f-01ef97525cc6___RS_HL 2324.JPG,train/Cherry_(including_sour)___healthy/3701b877-df2b-49cd-9bb9-066dd6f2f206___JR_HL 9734.JPG,4,0.09554596245288849,0.8824157929475311,False
Apple___healthy,Cherry_(including_sour)___healthy,train/Apple___healthy/51cb81e8-dd15-40cd-b4f2-5287379dfe74___RS_HL 6104.JPG,train/Cherry_(including_sour)___healthy/3aaba56c-080d-4a21-b2d8-8fe69189a720___JR_HL 4244.JPG,4,0.1313297152519226,0.7607058858131162,False
Apple___healthy,Cherry_(including_sour)___healthy,train/Apple___healthy/b0ba7a6d-95eb-44e2-a2a5-4d9ef9b489d7___RS_HL 5896.JPG,train/Cherry_(including_sour)___healthy/48476597-1b5c-4d55-bd30-80059a2356bf___JR_HL 9674.JPG,4,0.26940715312957764,0.8616150282240884,False
Grape___Black_rot,Orange___Haunglongbing_(Citrus_greening),train/Grape___Black_rot/24076a50-f715-4b02-b1fc-d5b83ab06174___FAM_B.Rot 3341.JPG,train/Orange___Haunglongbing_(Citrus_greening)/11b4a4de-c43d-48ac-a5a3-00b0875f6959___CREC_HLB 5583.JPG,4,0.10445617139339447,0.7970366900834618,False
Cherry_(including_sour)___Powdery_mildew,Orange___Haunglongbing_(Citrus_greening),train/Cherry_(including_sour)___Powdery_mildew/341d8850-26e0-4ac5-a560-da2be3fc4b24___FREC_Pwd.M 0349.JPG,train/Orange___Haunglongbing_(Citrus_greening)/bc070003-a6bb-4cc7-8e4b-4f5d074dd408___CREC_HLB 6479.JPG,4,0.17754517495632172,0.6418481728580521,False
Cherry_(including_sour)___healthy,Peach___healthy,train/Cherry_(including_sour)___healthy/55df59e1-73fb-4feb-8099-0b832bb3fb81___JR_HL 9754.JPG,train/Peach___healthy/02070622-2fd7-40d5-9470-27e513ea8a90___Rutg._HL 3636.JPG,4,0.14572426676750183,0.6859604988652058,False
Orange___Haunglongbing_(Citrus_greening),"Pepper,_bell___healthy",train/Orange___Haunglongbing_(Citrus_greening)/0b4118d9-903b-4883-a8e2-d802d524e1d6___CREC_HLB 4350.JPG,"train/Pepper,_bell___healthy/1663be64-8704-420b-8f9e-eb6265029f50___JR_HL 7846.JPG",4,0.09552837908267975,0.7634186230754983,False
Orange___Haunglongbing_(Citrus_greening),"Pepper,_bell___healthy",train/Orange___Haunglongbing_(Citrus_greening)/30288a78-5fa1-4b43-91bb-af203dabe675___CREC_HLB 4342.JPG,"train/Pepper,_bell___healthy/1663be64-8704-420b-8f9e-eb6265029f50___JR_HL 7846.JPG",4,0.10230899602174759,0.7416503429737581,False
Orange___Haunglongbing_(Citrus_greening),"Pepper,_bell___healthy",train/Orange___Haunglongbing_(Citrus_greening)/b0d0b4b7-5bf4-4638-9786-a67d98cceab8___CREC_HLB 6898.JPG,"train/Pepper,_bell___healthy/1a93f310-cd75-4af6-96d3-690180b4542a___JR_HL 5850.JPG",4,0.18528659641742706,0.7874420811622375,False
"Pepper,_bell___Bacterial_spot","Pepper,_bell___healthy","train/Pepper,_bell___Bacterial_spot/435993b8-c7f7-47fd-85ad-bdb04ab3e8bb___JR_B.Spot 8976.JPG","train/Pepper,_bell___healthy/4d525b16-48dc-40af-9721-024f002d5929___JR_HL 5970.JPG",4,0.13826507329940796,0.75070341335351,False
Blueberry___healthy,"Pepper,_bell___healthy",train/Blueberry___healthy/8e993b68-3e27-4289-abf5-e25a7faac9e1___RS_HL 4885.JPG,"train/Pepper,_bell___healthy/8de81983-7026-47e2-a972-854af986bfc0___JR_HL 5879.JPG",4,0.15274202823638916,0.7168960764565839,False
Apple___healthy,Potato___Late_blight,train/Apple___healthy/89ce10db-057c-4c03-9324-b512db8ca3d6___RS_HL 5797.JPG,train/Potato___Late_blight/5e8203e5-b699-4d5a-acb5-08a5f06ee984___RS_LB 5291.JPG,4,0.09039592742919922,0.7958765616966968,False
Orange___Haunglongbing_(Citrus_greening),Potato___healthy,train/Orange___Haunglongbing_(Citrus_greening)/01ec65ac-7f38-4197-a850-c922c2c2ade2___CREC_HLB 7244.JPG,train/Potato___healthy/6f4b9acd-f34d-4771-a6bc-2001de2dd1d3___RS_HL 1898.JPG,4,0.1578584611415863,0.6826052406172224,False
"Pepper,_bell___healthy",Raspberry___healthy,"train/Pepper,_bell___healthy/ef91d789-9549-42a6-b48e-7695ccd64a1f___JR_HL 7586.JPG",train/Raspberry___healthy/168f4f5b-4a8a-4fec-a0fa-a54e182d7b00___Mary_HL 9198.JPG,4,0.13892009854316711,0.7043130203005517,False
Blueberry___healthy,Raspberry___healthy,train/Blueberry___healthy/09e4cb6f-2897-477a-adce-f2c6204840e5___RS_HL 2303.JPG,train/Raspberry___healthy/5829c049-aa10-494a-9663-8ce0677e64f7___Mary_HL 6330.JPG,4,0.14087378978729248,0.5562206087730833,False
Apple___Black_rot,Raspberry___healthy,train/Apple___Black_rot/f3bac530-dd9a-43b3-b3cf-9860315f3d18___JR_FrgE.S 8800.JPG,train/Raspberry___healthy/68c91797-4323-4a34-a203-8393cdf3889b___Mary_HL 9143.JPG,4,0.12046355754137039,0.7058314559682255,False
Apple___healthy,Raspberry___healthy,train/Apple___healthy/6fe99b1c-d402-4756-a21b-ff964b999adb___RS_HL 6253.JPG,train/Raspberry___healthy/8c7736ec-6aff-45d8-9ee3-4609496a9f5b___Mary_HL 6245.JPG,4,0.21435754001140594,0.8544787377818815,False
"Pepper,_bell___Bacterial_spot",Raspberry___healthy,"train/Pepper,_bell___Bacterial_spot/380d0458-2f1e-432c-8adf-614143cba968___JR_B.Spot 8980.JPG",train/Raspberry___healthy/926f9aca-a072-4bd9-a748-78d7ea018c88___Mary_HL 6228.JPG,4,0.15241794288158417,0.6981189579826378,False
Cherry_(including_sour)___healthy,Raspberry___healthy,train/Cherry_(including_sour)___healthy/c4ef4ce3-b528-4cd8-8042-f23a980990c9___JR_HL 9668.JPG,train/Raspberry___healthy/9f63daed-c468-4783-94c9-c703187a37ad___Mary_HL 6303.JPG,4,0.10453275591135025,0.7766376971843615,False
"Pepper,_bell___healthy",Raspberry___healthy,"train/Pepper,_bell___healthy/db39cf0e-cfe0-49d1-a5ed-5d69faa26507___JR_HL 8756.JPG",train/Raspberry___healthy/bc42d851-1621-47ab-ad98-f410a474b4ca___Mary_HL 6218.JPG,4,0.11584386229515076,0.6916173308595291,False
Apple___healthy,Raspberry___healthy,train/Apple___healthy/6fe99b1c-d402-4756-a21b-ff964b999adb___RS_HL 6253.JPG,train/Raspberry___healthy/fbe55704-4329-4dd5-a336-9e315186e497___Mary_HL 6321.JPG,4,0.15919388830661774,0.8534147778134243,False
Orange___Haunglongbing_(Citrus_greening),Soybean___healthy,train/Orange___Haunglongbing_(Citrus_greening)/9f6b0bdc-33f9-44f0-a055-a1b2d54b6fa2___CREC_HLB 5644.JPG,train/Soybean___healthy/00457581-0077-442d-b19a-0dc6027e8cfc___RS_HL 5635.JPG,4,0.1849125772714615,0.6822522885561737,False
Potato___healthy,Soybean___healthy,train/Potato___healthy/1b434c52-7be4-40c4-90d5-13220f1a3eba___RS_HL 5418.JPG,train/Soybean___healthy/00f09c0e-8129-4e1b-8b55-020c633beaf0___RS_HL 3934.JPG,4,0.11227022111415863,0.7452787454089503,False
Blueberry___healthy,Soybean___healthy,train/Blueberry___healthy/aa57ac16-a2f7-4439-b5f6-66ae641d4bf8___RS_HL 5309.JPG,train/Soybean___healthy/02939fee-0408-46de-81c7-e0ecf75fb9f5___RS_HL 4664.JPG,4,0.1977139711380005,0.8004191548476786,False
